index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
141,42300,1,42300,51.377232142857146,0.0,21.5,51.377232142857146,272.6118915046156,292.45411566911065,90.95385428577008,0.00832177531206658
142,42600,1,42600,50.455026455026456,0.0,21.5,50.455026455026456,272.68500870157385,292.43315020967697,73.03870116887589,0.006682637750598913
143,42900,1,42900,49.51793981481482,0.0,21.5,49.51793981481482,272.75764636614707,292.4073783982309,82.68532207797278,0.00756525028369689
144,43200,1,43200,48.57142857142857,0.0,21.5,48.57142857142857,272.83,292.3870044182612,9723.7938763696,0.8896734333627543
145,43500,1,43500,47.620949074074076,0.0,21.5,47.620949074074076,272.9020225957173,295.02543603608353,10550.647097149329,0.9653259361997233
146,43800,1,43800,46.67195767195767,0.0,21.5,46.67195767195767,272.9731057052058,296.6777876684843,10517.572968318138,0.9622998360862444
147,44100,1,44100,45.729910714285715,0.0,21.5,45.729910714285715,273.0426026691132,297.56418978489756,10534.110032733734,0.9638128861429838
148,44400,1,44400,44.80026455026455,0.0,21.5,44.80026455026455,273.10986682808715,298.0555047628613,10494.145460396052,0.9601563485058641
149,44700,1,44700,43.88847552910053,0.0,21.5,43.88847552910053,273.1742515227754,298.3205229472322,10495.523549097341,0.9602824360105914
150,45000,1,45000,43.0,0.0,21.5,43.0,273.23511009382565,298.47560726521897,10496.901637798645,0.96040852351532
151,45300,1,45300,42.172317538126364,0.0,21.5,42.172317538126364,273.29179588188555,298.571864725974,10516.194879616833,0.9621737485815155
152,45600,1,45600,41.428376906318086,0.0,21.5,41.428376906318086,273.34366222760286,298.6429947710489,908.1604541564003,0.08309166561593744
153,45900,1,45900,40.751838235294116,0.0,21.5,40.751838235294116,273.3900624716253,296.0415737141537,97.84429779226772,0.00895221283570798
154,46200,1,46200,40.12636165577342,0.0,21.5,40.12636165577342,273.43034995460044,294.4211818246954,89.57576558447046,0.008195687807338292
155,46500,1,46500,39.53560729847494,0.0,21.5,39.53560729847494,273.4638780171761,293.5455581560886,86.81958818187142,0.007943512797881734
156,46800,1,46800,38.963235294117645,0.0,21.5,38.963235294117645,273.48999999999995,293.06340557403996,89.57576558447046,0.008195687807338292
