,alpha
612,1.1698225246570866
613,1.1698225246570866
614,1.162272075049602
615,1.162272075049602
616,1.162272075049602
617,1.1674856107808431
618,1.1708009396844046
619,1.1708009396844046
620,1.1708009396844046
621,1.1647602509555184
622,1.1627837978857423
623,1.1686692811081278
624,1.1689833340595372
625,1.1654365565538611
626,1.1676623106094564
627,1.1676623106094564
628,1.1676623106094564
629,1.1770594104032954
630,1.1750654907140479
631,1.1749583278675477
632,1.1791833268793432
633,1.1791833268793432
634,1.1745246801126152
635,1.1745246801126152
636,1.1745246801126152
637,1.1787555164874701
638,1.1787555164874701
639,1.177492427197218
640,1.1674175673608926
641,1.1674175673608926
642,1.1674175673608926
643,1.1674175673608926
644,1.1674175673608926
645,1.1674175673608926
646,1.1728070210649058
647,1.1728070210649058
648,1.1728070210649058
649,1.1760648534018165
650,1.1760648534018165
651,1.1786808968334062
652,1.1749432316750155
653,1.1874560865578543
654,1.1874560865578543
655,1.1874560865578543
656,1.1874560865578543
657,1.1874560865578543
658,1.1874560865578543
659,1.1874560865578543
660,1.1858724296675967
661,1.1852393273983182
662,1.1844209332992934
663,1.1844209332992934
664,1.1800748942406565
665,1.1773403107534606
666,1.1773403107534606
667,1.1773403107534606
668,1.1773403107534606
669,1.1773403107534606
670,1.175471896944888
671,1.175471896944888
672,1.175471896944888
673,1.170775048823442
674,1.1821813107154775
675,1.1821813107154775
676,1.1817845844811126
677,1.1722288978195456
678,1.173030148595476
679,1.1767039549609606
680,1.1767039549609606
681,1.17974841211465
682,1.165154439795569
683,1.17272391189454
684,1.17272391189454
685,1.17272391189454
686,1.17272391189454
687,1.17272391189454
688,1.1653046475057391
689,1.1653046475057391
690,1.1653046475057391
691,1.1653046475057391
692,1.1653046475057391
693,1.1644759285548747
694,1.1644759285548747
695,1.1644759285548747
696,1.1644759285548747
697,1.1657519293576355
698,1.1657519293576355
699,1.1657519293576355
700,1.1658780950584686
701,1.1658780950584686
702,1.1697454065672241
703,1.1773603992311346
704,1.1768961907069677
705,1.1768961907069677
706,1.1768961907069677
707,1.1789742093884374
708,1.1745292707582708
709,1.1745292707582708
710,1.1745292707582708
711,1.1745292707582708
712,1.1846032737887464
713,1.1846032737887464
714,1.1846032737887464
715,1.1759274517887133
716,1.1759274517887133
717,1.1759274517887133
718,1.1759274517887133
719,1.1879426126848085
720,1.1879426126848085
