index,seconds_of_day,day_of_year,timestamp,T_out,weaBus.HDirNor,T_in,HGloHor,heatPower,roomTempUpperSetpoint,weaBus.HDifHor,u
3912,50400,14,1173600,281.34999999999997,23.5,295.21628583330414,110.98826848826849,8316.87759522196,22.5,104.71428571428572,0.4337141666958359
3913,50700,14,1173900,281.325,17.67939814814815,295.20959546643866,104.96823746823748,8445.171680497682,22.5,100.27006172839506,0.44040453356132053
3914,51000,14,1174200,281.29999999999995,12.185185185185183,295.20514538691555,98.98409398409399,8530.50614620045,22.5,95.7477954144621,0.44485461308443064
3915,51300,14,1174500,281.275,7.343750000000007,295.2017096269061,93.26551826551827,8596.390079996634,22.5,91.30357142857144,0.44829037309386877
3916,51600,14,1174800,281.25,3.481481481481488,295.1986090135256,88.04219054219055,8655.847261560219,22.5,87.09347442680777,0.4513909864743937
3917,51900,14,1175100,281.22499999999997,0.924768518518519,295.1960087870621,83.54379104379105,8705.709052751636,22.5,83.27358906525575,0.45399121293786493
3918,52200,14,1175400,281.2,0.0,295.19408742284713,80.0,8742.553021012027,22.5,80.0,0.4559125771528443
3919,52500,14,1175700,281.17499999999995,0.0,295.1925769247707,77.00801075801076,8771.51824413364,22.5,77.05001533624721,0.4574230752292578
3920,52800,14,1176000,281.15,0.0,295.1911962602025,74.01486651486651,8797.993787465317,22.5,74.0984203665363,0.45880373979747446
3921,53100,14,1176300,281.125,0.0,295.1898852215813,71.02502227502228,8823.134187693428,22.5,71.1475155279503,0.4601147784186992
3922,53400,14,1176600,281.09999999999997,0.0,295.1884807538825,68.04293304293304,8850.066178469835,22.5,68.19960125757227,0.46151924611746153
3923,53700,14,1176900,281.075,0.0,295.1870464322545,65.07305382305383,8877.570646454966,22.5,65.25697799248523,0.46295356774550095
3924,54000,14,1177200,281.04999999999995,0.0,295.18557272479325,62.119839619839624,8905.830374882999,22.5,62.32194616977226,0.46442727520673094
3925,54300,14,1177500,281.025,0.0,295.18408155890694,59.187745437745434,8934.424885053295,22.5,59.396806226516375,0.46591844109303787
3926,54600,14,1177800,281.0,0.0,295.1825697761634,56.28122628122628,8963.414742876788,22.5,56.48385859980063,0.4674302238365726
3927,54900,14,1178100,280.97499999999997,0.0,295.181033680572,53.40473715473715,8992.870822454732,22.5,53.58540372670807,0.46896631942797745
3928,55200,14,1178400,280.95,0.0,295.1794732721328,50.56273306273306,9022.793123786034,22.5,50.70374204432176,0.4705267278671954
3929,55500,14,1178700,280.92499999999995,0.0,295.17790676723223,47.75966900966901,9052.832330504736,22.5,47.84117398972471,0.4720932327677474
3930,55800,14,1179000,280.9,0.0,295.176325161911,45.0,9083.161102010801,22.5,45.0,0.47367483808898214
3931,56100,14,1179300,280.875,0.0,295.17472742823344,42.26392712156601,9113.799149938155,22.5,42.18559335301485,0.4752725717665384
3932,56400,14,1179600,280.84999999999997,0.0,295.17311622085674,39.53317206094984,9144.695568735355,22.5,39.40369475755949,0.4768837791432361
3933,56700,14,1179900,280.825,0.0,295.1715210745881,36.81447072072072,9175.284000660087,22.5,36.65715579710145,0.47847892541187775
3934,57000,14,1180200,280.79999999999995,0.0,295.16992365227696,34.114559003447894,9205.916077843098,22.5,33.94882805510825,0.4800763477230134
3935,57300,14,1180500,280.775,0.0,295.1683239539233,31.440172811700588,9236.591800285478,22.5,31.281563115047415,0.4816760460767
3936,57600,14,1180800,280.75,0.0,295.1667110229143,28.79804804804805,9267.521271355152,22.5,28.65821256038647,0.4832889770856923
3937,57900,14,1181100,280.7059362816764,0.0,295.16504204499785,26.1949206150595,9299.525494657082,22.5,26.08162797459295,0.4849579550021304
3938,58200,14,1181400,280.6278996101364,0.0,295.1632992508342,23.637526415304194,9332.94521401544,22.5,23.554660941134372,0.4867007491657774
3939,58500,14,1181700,280.5221217105263,0.0,295.161293095645,21.13260135135135,9371.41512905771,22.5,21.080163043478258,0.48870690435495595
3940,58800,14,1182000,280.3948343079922,0.0,295.15910685655473,18.686881325770216,9413.338322497235,22.5,18.66098586509214,0.49089314344524837
3941,59100,14,1182300,280.2522691276803,0.0,295.1568060198288,16.30710224113002,9457.45903352162,22.5,16.299980989443547,0.4931939801711565
3942,59400,14,1182600,280.1006578947368,0.0,295.15437930627,14.0,9503.993551360873,22.5,14.0,0.49562069372996115
3943,59700,14,1182900,279.946232334308,0.0,295.1520019591338,11.81835133744856,9549.581421555815,22.5,11.81835133744856,0.4979980408661504
3944,60000,14,1183200,279.7952241715399,0.0,295.1496158911584,9.81224279835391,9595.336522055597,22.5,9.81224279835391,0.5003841088415584
3945,60300,14,1183500,279.6538651315789,0.0,295.1474054521624,7.984375000000001,9637.723771477826,22.5,7.984375000000001,0.5025945478375888
3946,60600,14,1183800,279.52838693957113,0.0,295.14530503745675,6.337448559670783,9678.00120151677,22.5,6.337448559670783,0.5046949625432262
3947,60900,14,1184100,279.4250213206627,0.0,295.1434671082408,4.874164094650206,9713.245225095647,22.5,4.874164094650206,0.5065328917591501
3948,61200,14,1184400,279.34999999999997,0.0,295.14184007602057,3.597222222222223,9744.445100171066,22.5,3.597222222222223,0.5081599239794059
3949,61500,14,1184700,279.30013575605676,0.0,295.1404588196009,2.5093235596707846,9770.931992811868,22.5,2.5093235596707846,0.5095411803990828
3950,61800,14,1185000,279.2661236424394,0.0,295.1393144687462,1.6131687242798378,9792.875998139269,22.5,1.6131687242798378,0.5106855312537846
3951,62100,14,1185300,279.24501879699244,0.0,295.1383211939826,0.9114583333333339,9811.922977143884,22.5,0.9114583333333339,0.5116788060173576
3952,62400,14,1185600,279.2338763575605,0.0,295.13749197567233,0.40689300411522744,9827.824019157131,22.5,0.40689300411522744,0.5125080243276443
3953,62700,14,1185900,279.22975146198826,0.0,295.1367794010859,0.10217335390946758,9841.488307916601,22.5,0.10217335390946758,0.5132205989140743
3954,63000,14,1186200,279.22969924812026,0.0,295.136185879099,0.0,9852.869650962708,22.5,0.0,0.5138141209009746
3955,63300,14,1186500,279.23077485380117,0.0,295.13562355606297,0.0,9863.652724744483,22.5,0.0,0.5143764439370102
3956,63600,14,1186800,279.2300334168755,0.0,295.1350848772935,0.0,9873.982397448288,22.5,0.0,0.5149151227064976
3957,63900,14,1187100,279.22453007518794,0.0,295.1345071411017,0.0,9885.061033006326,22.5,0.0,0.5154928588982557
3958,64200,14,1187400,279.2113199665831,0.0,295.13387270209887,0.0,9897.226998366763,22.5,0.0,0.5161272979011073
3959,64500,14,1187700,279.1874582289056,0.0,295.13315655740115,0.0,9910.959747372344,22.5,0.0,0.5168434425988266
3960,64800,14,1188000,279.15,0.0,295.1323418106101,0.0,9926.58328437546,22.5,0.0,0.5176581893898629
3961,65100,14,1188300,279.0924094424094,0.0,295.1313936059303,0.0,9944.766002078883,22.5,0.0,0.5186063940696499
3962,65400,14,1188600,279.01345136345134,0.0,295.1302842196132,0.0,9966.039529470523,22.5,0.0,0.5197157803867754
3963,65700,14,1188900,278.91813186813187,0.0,295.1290533658951,0.0,9989.642308667058,22.5,0.0,0.5209466341048596
3964,66000,14,1189200,278.811457061457,0.0,295.12771830328336,0.0,10015.243391538164,22.5,0.0,0.5222816967166182
3965,66300,14,1189500,278.698433048433,0.0,295.1263172321666,0.0,10042.110249655412,22.5,0.0,0.5236827678333498
3966,66600,14,1189800,278.5840659340659,0.0,295.12490193727706,0.0,10069.249862011999,22.5,0.0,0.5250980627229183
3967,66900,14,1190100,278.4733618233618,0.0,295.1234893897498,0.0,10096.336791108848,22.5,0.0,0.5265106102501704
3968,67200,14,1190400,278.3713268213268,0.0,295.12214214630603,0.0,10122.171452905117,22.5,0.0,0.5278578536939449
3969,67500,14,1190700,278.282967032967,0.0,295.12086806564776,0.0,10146.60314938867,22.5,0.0,0.5291319343522218
3970,67800,14,1191000,278.21328856328853,0.0,295.1197379625467,0.0,10168.273940621975,22.5,0.0,0.5302620374532694
3971,68100,14,1191300,278.16729751729747,0.0,295.11875090985416,0.0,10187.201605555132,22.5,0.0,0.5312490901458204
3972,68400,14,1191600,278.15,0.0,295.11798288920903,0.0,10201.929124706221,22.5,0.0,0.5320171107909459
3973,68700,14,1191900,278.1600917022792,0.0,295.11739555481944,0.0,10213.191814746811,22.5,0.0,0.5326044451805387
3974,69000,14,1192200,278.19034900284896,0.0,295.116974502629,0.0,10221.265887023359,22.5,0.0,0.5330254973709998
3975,69300,14,1192500,278.2368990384615,0.0,295.11670810795613,0.0,10226.374255751507,22.5,0.0,0.5332918920438487
3976,69600,14,1192800,278.2958689458689,0.0,295.1165230730083,0.0,10229.922475132236,22.5,0.0,0.5334769269916819
3977,69900,14,1193100,278.36338586182336,0.0,295.11643664782514,0.0,10231.579759409868,22.5,0.0,0.5335633521748377
3978,70200,14,1193400,278.4355769230769,0.0,295.1163766604616,0.0,10232.730073598957,22.5,0.0,0.5336233395383942
3979,70500,14,1193700,278.50856926638176,0.0,295.1163626524151,0.0,10232.998691082465,22.5,0.0,0.5336373475848859
3980,70800,14,1194000,278.57849002849,0.0,295.11632026092377,0.0,10233.811587850567,22.5,0.0,0.5336797390762058
3981,71100,14,1194300,278.64146634615383,0.0,295.11627205099796,0.0,10234.736058579465,22.5,0.0,0.5337279490020137
3982,71400,14,1194600,278.6936253561253,0.0,295.11613756851347,0.0,10237.314886868127,22.5,0.0,0.5338624314865115
3983,71700,14,1194900,278.7310941951567,0.0,295.1159446357513,0.0,10241.014554276333,22.5,0.0,0.5340553642486725
3984,72000,14,1195200,278.75,0.0,295.115634613824,0.0,10246.959516694496,22.5,0.0,0.5343653861759776
3985,72300,14,1195500,278.7583333333333,0.0,295.1152282389604,0.0,10254.752137405914,22.5,0.0,0.5347717610395648
3986,72600,14,1195800,278.76666666666665,0.0,295.1148482324181,0.0,10262.039120724117,22.5,0.0,0.5351517675818513
3987,72900,14,1196100,278.775,0.0,295.1144549819412,0.0,10269.580068961312,22.5,0.0,0.5355450180587695
3988,73200,14,1196400,278.7833333333333,0.0,295.11408889617076,0.0,10276.600108369743,22.5,0.0,0.5359111038292212
3989,73500,14,1196700,278.79166666666663,0.0,295.1137402504203,0.0,10283.285718971094,22.5,0.0,0.536259749579699
3990,73800,14,1197000,278.79999999999995,0.0,295.1134070606125,0.0,10289.674947316103,22.5,0.0,0.5365929393875035
3991,74100,14,1197300,278.80833333333334,0.0,295.1130893250436,0.0,10295.767826076126,22.5,0.0,0.5369106749564025
3992,74400,14,1197600,278.81666666666666,0.0,295.11278000610235,0.0,10301.699308074067,22.5,0.0,0.5372199938976223
3993,74700,14,1197900,278.825,0.0,295.1124822626131,0.0,10307.40881987891,22.5,0.0,0.5375177373868496
3994,75000,14,1198200,278.8333333333333,0.0,295.1121973449517,0.0,10312.872384356824,22.5,0.0,0.5378026550482673
3995,75300,14,1198500,278.84166666666664,0.0,295.1119252531181,0.0,10318.090001507811,22.5,0.0,0.5380747468818754
3996,75600,14,1198800,278.84999999999997,0.0,295.11166598711236,0.0,10323.061671330779,22.5,0.0,0.5383340128876171
