index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
2213,59100,8,663900,0.0,5259.508771540849,298.4545312128167,281.2662339541246,0.0,0.0,23.0,0.9746564115496155
2214,59400,8,664200,0.0,5245.900728147473,298.4629765849335,281.2197159090909,0.0,0.0,23.0,0.9721346614550503
2215,59700,8,664500,0.0,5249.302738995815,298.46809764177567,281.1732136468855,0.0,0.0,23.0,0.9727650989786912
2216,60000,8,664800,0.0,5245.900728147473,298.4747794375138,281.1267003367003,0.0,0.0,23.0,0.9721346614550503
2217,60300,8,665100,0.0,5237.735902111446,298.48082576931967,281.08014914772724,0.0,0.0,23.0,0.970621611398311
2218,60600,8,665400,0.0,5241.81831512946,298.4853498215483,281.0335332491582,0.0,0.0,23.0,0.9713781364266807
2219,60900,8,665700,0.0,5247.94193465648,298.49163330720455,280.98682581018517,0.0,0.0,23.0,0.9725129239692352
2220,61200,8,666000,0.0,5251.343945504822,298.49940213974395,280.94,0.0,0.0,23.0,0.9731433614928761
2221,61500,8,666300,0.0,5245.220325977801,298.5074236160194,280.89187193627447,0.0,0.0,23.0,0.9720085739503214
2222,61800,8,666600,0.0,5249.302738995815,298.513422159847,280.84157976827095,0.0,0.0,23.0,0.9727650989786912
2223,62100,8,666900,0.0,5265.632391067869,298.52034750937514,280.7895797125668,0.0,0.0,23.0,0.9757911990921699
2224,62400,8,667200,0.0,5266.312793237541,298.5305436466354,280.7363279857397,0.0,0.0,23.0,0.9759172865968987
2225,62700,8,667500,0.0,5275.158021443241,298.53928753999537,280.68228080436717,0.0,0.0,23.0,0.9775564241583671
2226,63000,8,667800,0.0,5264.951988898207,298.54886429342815,280.6278943850267,0.0,0.0,23.0,0.9756651115874428
2227,63300,8,668100,0.0,5277.199227952247,298.55455493357175,280.5736249442959,0.0,0.0,23.0,0.9779346866725519
2228,63600,8,668400,0.0,5270.3952062555545,298.5628393479161,280.5199286987522,0.0,0.0,23.0,0.9766738116252685
2229,63900,8,668700,0.0,5283.322847479268,298.5685894773188,280.46726186497324,0.0,0.0,23.0,0.9790694742151064
2230,64200,8,669000,0.0,5268.353999746548,298.5772800842425,280.41608065953653,0.0,0.0,23.0,0.9762955491110836
2231,64500,8,669300,0.0,5282.642445309596,298.58112096822794,280.3668412990196,0.0,0.0,23.0,0.9789433867103776
2232,64800,8,669600,0.0,5284.683651818603,298.58877297749973,280.32,0.0,0.0,23.0,0.9793216492245624
2233,65100,8,669900,0.0,5284.683651818603,298.59605466510646,280.2768839947838,0.0,0.0,23.0,0.9793216492245624
2234,65400,8,670200,0.0,5285.3640539882745,298.6028984655328,280.23799616641526,0.0,0.0,23.0,0.9794477367292912
2235,65700,8,670500,0.0,5292.848477854629,298.6094845223856,280.20255620757916,0.0,0.0,23.0,0.9808346992813016
2236,66000,8,670800,0.0,5306.456521248006,298.61751796131546,280.16978381096027,0.0,0.0,23.0,0.9833564493758669
2237,66300,8,671100,0.0,5303.054510399664,298.6281968193835,280.1388986692433,0.0,0.0,23.0,0.982726011852226
2238,66600,8,671400,0.0,5306.456521248006,298.6361895579635,280.1091204751131,0.0,0.0,23.0,0.9833564493758669
2239,66900,8,671700,0.0,5301.693706060329,298.64430689260394,280.0796689212544,0.0,0.0,23.0,0.98247383684277
2240,67200,8,672000,0.0,5290.807271345623,298.6506382833493,280.0497637003519,0.0,0.0,23.0,0.980456436767117
2241,67500,8,672300,0.0,5285.3640539882745,298.6543976593017,280.0186245050905,0.0,0.0,23.0,0.9794477367292912
2242,67800,8,672600,0.0,5297.611293042315,298.6576086360057,279.98547102815485,0.0,0.0,23.0,0.9817173118144003
2243,68100,8,672900,0.0,5299.652499551322,298.66424980674503,279.94952296222976,0.0,0.0,23.0,0.9820955743285851
2244,68400,8,673200,0.0,5302.374108229991,298.6707650181912,279.90999999999997,0.0,0.0,23.0,0.9825999243474971
2245,68700,8,673500,0.0,5304.415314738999,298.67746089210806,279.86795341682495,0.0,0.0,23.0,0.982978186861682
2246,69000,8,673800,0.0,5288.085662666944,298.6837188573303,279.82507439062994,0.0,0.0,23.0,0.9799520867482032
2247,69300,8,674100,0.0,5275.838423612903,298.685680714389,279.78154246794867,0.0,0.0,23.0,0.9776825116630942
2248,69600,8,674400,0.0,5275.838423612903,298.6858133483857,279.7375371953149,0.0,0.0,23.0,0.9776825116630942
2249,69900,8,674700,0.0,5287.405260497281,298.6872504965842,279.6932381192624,0.0,0.0,23.0,0.9798259992434761
2250,70200,8,675000,0.0,5292.168075684958,298.6924128221017,279.6488247863248,0.0,0.0,23.0,0.9807086117765731
2251,70500,8,675300,0.0,5289.446467006288,298.6982763204387,279.6044767430358,0.0,0.0,23.0,0.980204261757661
2252,70800,8,675600,0.0,5302.374108229991,298.7028630577119,279.56037353592905,0.0,0.0,23.0,0.9825999243474971
2253,71100,8,675900,0.0,5307.136923417677,298.7102883463866,279.51669471153843,0.0,0.0,23.0,0.9834825368805957
2254,71400,8,676200,0.0,5308.497727757012,298.7173698668154,279.47361981639756,0.0,0.0,23.0,0.9837347118900518
2255,71700,8,676500,0.0,5321.425368980725,298.7237776011553,279.4313283970402,0.0,0.0,23.0,0.9861303744798896
2256,72000,8,676800,0.0,5313.260542944698,298.7321535269246,279.39,0.0,0.0,23.0,0.9846173244231502
2257,72300,8,677100,0.0,5322.78617332006,298.7371057229338,279.34922421553495,0.0,0.0,23.0,0.9863825494893457
2258,72600,8,677400,0.0,5306.456521248006,298.74392218131226,279.30851594650204,0.0,0.0,23.0,0.9833564493758669
2259,72900,8,677700,0.0,5307.81732558735,298.7460211763022,279.2679427083333,0.0,0.0,23.0,0.9836086243853247
2260,73200,8,678000,0.0,5321.425368980725,298.7490789429559,279.2275720164609,0.0,0.0,23.0,0.9861303744798896
2261,73500,8,678300,0.0,5315.301749453704,298.75556772221785,279.1874713863169,0.0,0.0,23.0,0.984995586937335
2262,73800,8,678600,0.0,5300.332901720984,298.7596083561515,279.1477083333333,0.0,0.0,23.0,0.9822216618333123
2263,74100,8,678900,0.0,5298.291695211978,298.7601612898914,279.10835037294237,0.0,0.0,23.0,0.9818433993191273
2264,74400,8,679200,0.0,5296.930890872643,298.7614752408093,279.0694650205761,0.0,0.0,23.0,0.9815912243096715
2265,74700,8,679500,0.0,5301.693706060329,298.7632963474573,279.03111979166664,0.0,0.0,23.0,0.98247383684277
2266,75000,8,679800,0.0,5279.240434461254,298.76690208294684,278.99338220164606,0.0,0.0,23.0,0.9783129491867367
2267,75300,8,680100,0.0,5275.158021443241,298.7653390165198,278.9563197659465,0.0,0.0,23.0,0.9775564241583671
2268,75600,8,680400,0.0,5270.3952062555545,298.76485538169095,278.91999999999996,0.0,0.0,23.0,0.9766738116252685
2269,75900,8,680700,0.0,5262.9107823892,298.7646811825361,278.8843767682613,0.0,0.0,23.0,0.975286849073258
