,T_in,T_out,heatPower,Q_solar
510,276.697,273.05,5018.0,0.0
511,276.7592,273.05,5022.6665,0.0
512,276.81564,273.05,5161.3335,0.0
513,276.8739,273.05,5155.3335,0.0
514,276.92908,273.05,5142.0,0.0
515,276.9794,273.05,5146.0,0.0
516,277.02542,272.65,5139.3335,0.0
517,277.03094,272.65,5158.0,0.0
518,277.0368,272.65,5156.0,0.0
519,277.04236,272.65,5156.0,0.0
520,277.0475,272.65,5154.6665,0.0
521,277.0521,272.65,5148.6665,0.0
522,277.056,272.65,5153.3335,0.0
523,277.05966,272.65,5140.0,0.0
524,277.06238,272.65,5143.3335,0.0
525,277.0648,272.65,5140.0,0.0
526,277.0668,272.65,5132.0,0.0
527,277.06815,272.65,5136.0,0.0
528,277.0694,271.55,5142.0,0.0
529,276.9716,271.55,5145.3335,0.0
530,276.8829,271.55,5139.3335,0.0
531,276.80203,271.55,5143.3335,0.0
532,276.7286,271.55,5159.3335,0.0
533,276.66263,271.55,5160.0,0.0
534,276.60294,271.55,5168.6665,0.0
535,276.5492,271.55,5158.6665,0.0
536,276.5,271.55,5170.6665,0.0
537,276.45575,271.55,5164.0,0.0
538,276.4153,271.55,5176.6665,0.0
539,276.37912,271.55,5162.0,0.0
540,276.34564,272.35,5176.0,0.0
541,276.3879,272.35,5178.0,0.0
542,276.4266,272.35,5178.0,0.0
543,276.4619,272.35,5178.6665,0.0
544,276.4941,272.35,5186.0,0.0
545,276.52377,272.35,5199.3335,0.0
546,276.55157,272.35,5196.0,0.0
547,276.577,272.35,5199.3335,0.0
548,276.60034,272.35,5194.6665,0.0
549,276.62143,272.35,5184.0,0.0
550,276.64,272.35,5178.6665,0.0
551,276.65643,272.35,5190.6665,0.0
552,276.6718,272.55,5192.6665,0.0
553,276.7041,272.55,5195.3335,0.0
554,276.7337,272.55,5197.3335,0.0
555,276.7608,272.55,5181.3335,0.0
556,276.78473,272.55,5169.3335,0.0
557,276.80563,272.55,5169.3335,0.0
558,276.82434,272.55,5180.6665,0.0
559,276.84183,272.55,5185.3335,0.0
560,276.85812,272.55,5182.6665,0.0
561,276.87296,272.55,5195.3335,0.0
562,276.8871,272.55,5200.0,0.0
563,276.9004,272.55,5201.3335,0.0
564,276.91275,273.15,5214.0,0.0
565,276.97885,273.15,5206.0,0.0
566,277.03882,273.15,5215.3335,0.0
567,277.09378,273.15,5199.3335,0.0
568,277.14316,273.15,5200.6665,0.0
569,277.1879,273.15,5214.0,0.0
570,277.22922,273.15,5208.0,0.0
571,277.26672,273.15,5193.3335,0.0
572,277.30008,273.15,5191.3335,0.0
573,277.33005,273.15,5190.0,0.0
574,277.35712,273.15,5194.6665,0.0
575,277.3819,273.15,5172.6665,0.0
576,277.4034,273.35,5168.6665,0.0
577,277.44046,273.35,5164.0,0.0
578,277.47372,273.35,5156.6665,0.0
579,277.50348,273.35,5168.6665,0.0
580,277.53094,273.35,5158.6665,0.0
581,277.55557,273.35,5152.6665,0.0
582,277.57758,273.35,5150.0,0.0
583,277.5973,273.35,5159.3335,0.0
584,277.6156,273.35,524.6667,0.0
585,277.4007,273.35,44.0,0.0
586,277.0983,273.35,41.333332,0.0
587,276.78482,273.35,44.0,0.0
588,276.48602,273.45,41.333332,0.0
589,276.2182,273.45,38.0,0.0
590,275.97256,273.45,41.333332,0.0
591,275.74857,273.45,38.666668,0.0
592,275.54443,273.45,42.0,0.0
593,275.35876,273.45,40.666668,0.0
594,275.1898,273.45,37.333332,0.0
595,275.0359,273.45,40.0,0.0
596,274.89594,273.45,37.333332,0.0
597,274.7685,273.45,38.666668,0.0
598,274.65256,273.45,39.333332,0.0
599,274.54712,273.45,38.666668,0.0
600,274.45117,273.75,41.333332,0.0
601,274.39108,273.75,38.0,0.0
602,274.3363,273.75,42.0,0.0
603,274.2866,273.75,38.0,0.0
604,274.24124,273.75,42.666668,0.0
605,274.20016,273.75,41.333332,0.0
606,274.16278,273.75,42.0,0.0
607,274.1288,273.75,42.0,0.0
608,274.0979,273.75,38.0,0.0
609,274.06958,273.75,41.333332,0.0
610,274.0439,273.75,42.666668,0.0
611,274.02066,273.75,40.0,0.0
612,273.99942,272.65,40.0,0.0
613,273.8808,272.65,44.0,0.0
614,273.77307,272.65,47.333332,0.0
615,273.67532,272.65,48.666668,0.0
616,273.58655,272.65,44.0,0.0
617,273.50558,272.65,44.0,0.0
618,273.4319,272.65,50.0,0.0
619,273.3651,272.65,44.666668,0.0
620,273.30417,272.65,44.0,0.0
621,273.24863,272.65,44.666668,0.0
622,273.19812,272.65,43.333332,0.0
623,273.1521,272.65,44.666668,0.0
624,273.11026,271.75,44.666668,0.0
625,272.991,271.75,43.333332,0.0
626,272.88245,271.75,4838.6665,0.0
627,273.0234,271.75,5120.6665,0.0
628,273.25153,271.75,5122.0,0.0
629,273.49484,271.75,5140.0,0.0
630,273.72992,271.75,5140.6665,0.0
631,273.94873,271.75,5130.0,0.0
632,274.14905,271.75,5134.0,0.0
633,274.33194,271.75,5122.0,0.0
634,274.49796,271.75,5138.0,0.0
635,274.64966,271.75,5152.0,0.0
636,274.78864,272.75,5173.3335,0.0
637,275.0067,272.75,5160.0,0.0
638,275.20493,272.75,5178.6665,0.0
639,275.38614,272.75,5193.3335,0.0
640,275.55203,272.75,5188.6665,0.0
641,275.7031,272.75,5196.0,0.0
642,275.84097,272.75,5204.6665,0.0
643,275.96698,272.75,5219.3335,0.0
644,276.08258,272.75,5148.0,0.0
645,276.1845,272.75,5164.6665,0.0
646,276.27692,272.75,5162.6665,0.0
647,276.36078,272.75,5171.3335,0.0
648,276.43744,272.25,5179.3335,0.0
649,276.4626,272.25,5178.6665,0.0
650,276.48563,272.25,5182.0,0.0
651,276.50684,272.25,5200.6665,0.0
652,276.52713,272.25,5191.3335,0.0
653,276.5455,272.25,5203.3335,0.0
654,276.56277,272.25,5206.0,0.0
655,276.57883,272.25,5184.0,0.0
656,276.59244,272.25,5162.6665,0.0
657,276.60342,272.25,5171.3335,0.0
658,276.61334,272.25,5198.6665,0.0
659,276.6237,272.25,5200.6665,0.0
660,276.6337,272.35,5216.6665,0.0
661,276.65283,272.35,5220.0,0.0
662,276.67078,272.35,5220.0,0.0
663,276.6873,272.35,5224.6665,0.0
664,276.7026,272.35,5235.3335,0.0
665,276.71716,272.35,5223.3335,0.0
666,276.73004,272.35,5228.0,0.0
667,276.74185,272.35,5200.6665,0.0
668,276.75128,272.35,5123.3335,0.0
669,276.75552,272.35,5081.3335,0.0
670,276.75574,272.35,5079.3335,0.0
671,276.75452,272.35,5078.6665,0.0
672,276.75287,272.15,5080.0,296.54565
673,276.7563,272.15,5085.3335,296.54565
674,276.7596,272.15,5098.6665,296.54565
675,276.7634,272.15,5096.6665,296.54565
676,276.767,272.15,5098.6665,296.54565
677,276.77045,272.15,5100.0,296.54565
678,276.77368,272.15,5108.0,296.54565
679,276.77707,272.15,5095.3335,296.54565
680,276.7797,272.15,5083.3335,296.54565
681,276.7813,272.15,5125.3335,296.54565
682,276.7846,272.15,5120.0,296.54565
