index,seconds_of_day,day_of_year,timestamp,weaBus.TDryBul,weaBus.HDirNor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,u
811,70500,3,243300,272.44271505376344,0.0,0.0,21.0,20862.595091952157,297.4975626835921,0.0,0.9726390114739641
812,70800,3,243600,272.43010752688167,0.0,0.0,21.0,20716.551517287207,297.54339608859857,0.0,0.9658302862186369
813,71100,3,243900,272.41685483870964,0.0,0.0,21.0,20673.279347016098,297.55343356106573,0.0,0.9638128861429838
814,71400,3,244200,272.4026344086021,0.0,0.0,21.0,20711.142496003296,297.56306650914763,0.0,0.9655781112091792
815,71700,3,244500,272.38712365591397,0.0,0.0,21.0,20692.210921509715,297.5851165123067,0.0,0.9646954986760823
816,72000,3,244800,272.37,0.0,0.0,21.0,20716.551517287207,297.60393176929074,0.0,0.9658302862186369
817,72300,3,245100,272.3459139784946,0.0,0.0,21.0,20689.506410867758,297.62791514616737,0.0,0.9645694111713534
818,72600,3,245400,272.31113880742913,0.0,0.0,21.0,20686.801900225804,297.64523700911565,0.0,0.9644433236666247
819,72900,3,245700,272.26778592375365,0.0,0.0,21.0,20686.801900225804,297.6625699777426,0.0,0.9644433236666247
820,73200,3,246000,272.21796676441835,0.0,0.0,21.0,20694.915432151636,297.67965448510495,0.0,0.9648215861808096
821,73500,3,246300,272.1637927663734,0.0,0.0,21.0,20730.07407049691,297.69782989311256,0.0,0.9664607237422776
822,73800,3,246600,272.1073753665689,0.0,0.0,21.0,20735.48309178079,297.72127197034735,0.0,0.9667128987517337
823,74100,3,246900,272.050826001955,0.0,0.0,21.0,20516.417729783363,297.7415956735121,0.0,0.9564998108687429
824,74400,3,247200,271.9962561094819,0.0,0.0,21.0,20481.259091438125,297.72097884840343,0.0,0.9548606733072765
825,74700,3,247500,271.9457771260997,0.0,0.0,21.0,20456.91849566063,297.7115090023058,0.0,0.9537258857647217
826,75000,3,247800,271.90150048875853,0.0,0.0,21.0,20486.668112721996,297.7092164005483,0.0,0.9551128483167323
827,75300,3,248100,271.86553763440855,0.0,0.0,21.0,20435.28241052506,297.7198223251396,0.0,0.9527171857268945
828,75600,3,248400,271.84,0.0,0.0,21.0,20475.85007015421,297.72293076349604,0.0,0.9546084982978187
829,75900,3,248700,271.82500274122805,0.0,0.0,21.0,20448.8049637348,297.73792236586,0.0,0.953347623250537
830,76200,3,249000,271.8181917862839,0.0,0.0,21.0,20473.14555951229,297.7476972227424,0.0,0.9544824107930914
831,76500,3,249300,271.81797473086124,0.0,0.0,21.0,20511.00870849949,297.7634053150406,0.0,0.9562476358592868
832,76800,3,249600,271.8227591706539,0.0,0.0,21.0,20373.07866576037,297.7846265787484,0.0,0.9498171731181446
833,77100,3,249900,271.8309527013556,0.0,0.0,21.0,20624.598155461117,297.7783563168039,0.0,0.9615433110578748
