row: origin/col: dest/entries: meters,West End,Knightsbridge ,Bromley ,Croydon ,Ealing,Shepherds Bush,Wood Green ,Harrow ,Romford ,Uxbridge ,Hounslow ,Kingston ,Ilford ,Sutton ,Barking ,Edgware ,Bexleyheath ,Wembley ,Kilburn ,Orpington ,Camden Town ,Southall ,Enfield Town ,Eltham ,Woolwich ,Dalston ,Fulham ,Hammersmith ,Chiswick ,Angel ,Nags Head ,Kensington High Street ,Kings Road East ,Brixton ,Streatham ,Catford ,Lewisham ,Wimbledon ,East Ham ,Stratford ,Richmond ,Peckham ,Canary Wharf ,Walthamstow ,Clapham Junction ,Putney ,Tooting ,Wandsworth ,Queensway-Westbourne Grove
New Addington	Croydon	London,23987,23868,10345,7996,37295,26675,51038,40311,55323,86041,41478,26221,35850,15213,32851,96456,23430,36878,32067,12175,26365,39587,80252,16636,22049,32288,23359,25697,28904,35009,28987,25222,21853,16613,13740,14199,14266,19953,30759,29730,30952,18104,26648,37757,19957,22701,16267,20601,26450
Norbury	Croydon	London,13324,13205,12054,5172,25686,15067,23504,28702,42947,35592,22987,18099,32093,11374,29094,37151,21820,25269,20458,19117,15789,27978,48496,15147,18292,18369,10511,14088,17295,15558,14315,13613,11190,5950,2826,9888,9973,10249,27002,25973,17189,9829,17867,34000,9294,10147,5474,7753,15787
Purley	Croydon	London,22096,20862,15550,5515,41043,32796,89098,45286,70942,75128,31829,20186,69522,9261,67897,53735,52303,41853,28845,18128,24978,40841,95872,22588,28002,38241,18898,22475,33866,24748,24892,22001,18846,14604,11213,16852,16919,16510,69668,35683,32510,18994,32600,81165,16951,18609,12212,17444,23444
Sanderstead	Croydon	London,23563,22328,12847,5402,35540,24920,53540,87967,70369,77680,35162,23518,38352,12593,35353,111501,25932,45186,30311,14677,26444,72874,95298,19137,24551,34790,20365,23941,27148,26214,31488,23467,20313,16071,12679,16700,16768,16959,33261,32232,35843,18881,29149,40259,18417,19707,13273,17607,24910
Selhurst	Croydon	London,16605,16486,8969,2224,29913,19293,46100,32929,59444,39819,34081,19464,30912,10733,27913,41378,20639,29496,24684,15934,18958,32204,47315,13966,17111,27350,14055,18314,21521,18728,17159,17840,14470,9231,6357,8707,8793,13259,25821,24792,20733,11262,21710,32819,12575,13691,8710,11297,19068
Selsdon and Ballards	Croydon	London,21853,21734,10122,4026,35162,24542,50398,38178,56526,80528,37450,22044,35210,11244,32211,97658,24270,34745,29933,13016,24231,37453,81455,17476,21409,31648,19183,23563,26770,24001,28347,23088,19719,14479,11606,13263,13331,15777,30119,29090,26776,16796,26008,37117,17823,18525,12091,16425,24317
Shirley	Croydon	London,19415,19297,7133,4158,32724,22104,47409,35740,54892,42629,37453,22836,32221,11376,29222,96025,21948,32307,27495,11383,21793,35015,48624,14432,18420,28659,17840,21125,24332,21563,25357,20650,17281,12041,9168,10274,10342,16631,27130,26101,24517,14213,23018,34128,15385,17476,12883,15082,21879
South Norwood	Croydon	London,15614,15495,7939,3473,28922,18302,45070,31938,58640,38828,26514,21626,29882,11982,26883,40387,19609,28505,23693,15131,17992,31213,46285,12936,16081,26320,14038,17323,20530,17762,16194,16849,13479,8240,5366,7677,7763,13776,24791,23762,20715,10296,20680,31789,11584,13674,9178,11280,18077
Thornton Heath	Croydon	London,16014,14780,10820,3056,27992,17372,47951,31008,62860,37897,32867,18251,32763,9738,29765,39457,22491,27575,22763,19350,18896,30283,49167,15818,18963,29202,12816,16393,19600,18666,16918,15919,12764,8552,5131,10559,10644,11983,27673,26644,19494,11446,19456,34671,10869,12453,6604,10058,17362
Upper Norwood	Croydon	London,13927,13376,8991,5358,26804,16184,44666,29820,40332,36709,25222,20333,29478,13336,26480,38269,19206,26387,21575,16664,16326,29095,45882,12533,15678,25917,12301,15205,18412,16096,13970,14731,11361,6122,3629,7274,7359,12039,24388,23359,19423,8072,16081,31386,9466,12382,7441,9543,15959
