,susceptible,exposed,infected,recovered,symptomatic,hospitalized,critical,deceased,quarantine_S,quarantine_E,quarantine_I,contact_traced
2020-07-01,0.9944765971541495,4.4760152721641084e-05,2.5737087814943625e-05,0.005355552273144356,6.825923290050266e-05,2.349908017886157e-05,6.714022908246163e-06,5.9852937212338765e-05,0.00010854337034997964,0.0,0.0,0.0
2020-07-02,0.9944598120968788,4.9236167993805195e-05,2.6856091632984652e-05,0.005366742311324766,7.049724053658471e-05,2.1261072542779514e-05,6.714022908246163e-06,5.992455429140078e-05,0.00010630536271389758,0.0,0.0,0.0
2020-07-03,0.9944508600663345,4.811716417576417e-05,2.9094099269066708e-05,0.005368980318960848,7.609225962678985e-05,2.1261072542779514e-05,6.714022908246163e-06,5.999675807114962e-05,0.00010518635889585655,0.0,0.0,0.0
2020-07-04,0.9944441460434263,4.5879156539682115e-05,2.6856091632984652e-05,0.0053812893609593,7.721126344483087e-05,1.7904061088656435e-05,7.83302672628719e-06,6.0071705561508424e-05,0.00011301938562214374,0.0,0.0,0.0
2020-07-05,0.9944295989937918,5.035517181184622e-05,2.797509545102568e-05,0.005389122387685586,7.83302672628719e-05,1.7904061088656435e-05,7.83302672628719e-06,6.015179113951966e-05,0.00011078137798606169,0.0,0.0,0.0
2020-07-06,0.994409456925067,5.930720235617444e-05,2.9094099269066708e-05,0.005398074418229915,7.721126344483087e-05,2.014206872473849e-05,7.83302672628719e-06,6.023947204205021e-05,0.00011301938562214374,0.0,0.0,0.0
2020-07-07,0.9943926718677965,6.154520999225649e-05,3.580812217731287e-05,0.005410383460228366,7.609225962678985e-05,1.566605345257438e-05,8.952030544328217e-06,6.033704325673636e-05,0.00011190038180410272,0.0,0.0,0.0
2020-07-08,0.99437924382198,5.7069194720092384e-05,3.916513363143595e-05,0.005418216486954654,8.168727871699498e-05,1.4547049634533354e-05,1.1190038180410271e-05,6.0446314390232e-05,0.00011301938562214374,0.0,0.0,0.0
2020-07-09,0.9943646967723454,5.7069194720092384e-05,4.028413744947698e-05,0.00542604951368094,8.840130162524115e-05,1.4547049634533354e-05,1.0071034362369245e-05,6.05681631845345e-05,0.00011973340853038991,0.0,0.0,0.0
2020-07-10,0.9943501497227109,5.595019090205136e-05,4.1403141267518005e-05,0.005435001544225269,9.399632071544628e-05,1.4547049634533354e-05,1.0071034362369245e-05,6.070211352324075e-05,0.00012644743143863606,0.0,0.0,0.0
2020-07-11,0.9943356026730763,6.0426206174215464e-05,3.6927125995353894e-05,0.005443953574769597,9.847233598761039e-05,1.566605345257438e-05,1.0071034362369245e-05,6.0846046120904994e-05,0.00013316145434688224,0.0,0.0,0.0
2020-07-12,0.994326650642532,5.483118708401033e-05,4.028413744947698e-05,0.005457381620586089,9.847233598761039e-05,1.566605345257438e-05,7.83302672628719e-06,6.099624295189182e-05,0.00013428045816492326,0.0,0.0,0.0
2020-07-13,0.9943087465814433,5.930720235617444e-05,4.028413744947698e-05,0.005471928670220623,9.847233598761039e-05,1.4547049634533354e-05,7.83302672628719e-06,6.114780544256535e-05,0.0001320424505288412,0.0,0.0,0.0
2020-07-14,0.9942919615241728,6.825923290050266e-05,3.580812217731287e-05,0.005487594723673197,9.735333216956936e-05,1.2309041998451299e-05,7.83302672628719e-06,6.129546938838434e-05,0.00012868543907471812,0.0,0.0,0.0
2020-07-15,0.9942807714859924,5.595019090205136e-05,4.364114890360006e-05,0.0054954277503994845,0.00010630536271389758,1.1190038180410271e-05,7.83302672628719e-06,6.143454366605214e-05,0.00012980444289275916,0.0,0.0,0.0
2020-07-16,0.9942628674249037,6.0426206174215464e-05,4.4760152721641084e-05,0.005511093803852059,0.00010630536271389758,7.83302672628719e-06,7.83302672628719e-06,6.156174534947812e-05,0.00013428045816492326,0.0,0.0,0.0
2020-07-17,0.9942539153943594,5.2593179447928274e-05,4.5879156539682115e-05,0.0055267598573046335,0.00010518635889585655,8.952030544328217e-06,7.83302672628719e-06,6.167565547489234e-05,0.00013539946198296428,0.0,0.0,0.0
2020-07-18,0.9942348923294526,5.7069194720092384e-05,4.5879156539682115e-05,0.0055390688993030845,0.00010630536271389758,1.0071034362369245e-05,7.83302672628719e-06,6.177663093487124e-05,0.00013539946198296428,0.0,0.0,0.0
2020-07-19,0.994219226276,5.595019090205136e-05,4.9236167993805195e-05,0.005553615948937618,0.0001029483512597745,1.2309041998451299e-05,7.83302672628719e-06,6.186628075790844e-05,0.0001320424505288412,0.0,0.0,0.0
2020-07-20,0.9942013222149114,5.8188198538133415e-05,4.5879156539682115e-05,0.005564805987118028,0.00011190038180410272,1.0071034362369245e-05,8.952030544328217e-06,6.194669796796982e-05,0.00013875647343708736,0.0,0.0,0.0
2020-07-21,0.9941711091118243,7.497325580874882e-05,4.028413744947698e-05,0.0055793530367525615,0.00011637639707626683,1.0071034362369245e-05,8.952030544328217e-06,6.201969922020466e-05,0.00014770850398141558,0.0,0.0,0.0
2020-07-22,0.9941576810660078,7.049724053658471e-05,4.4760152721641084e-05,0.005589424071114931,0.00011749540089430785,1.3428045816492326e-05,7.83302672628719e-06,6.208637462184621e-05,0.00014658950016337456,0.0,0.0,0.0
2020-07-23,0.9941420150125552,7.609225962678985e-05,4.699816035772314e-05,0.005596138094023177,0.00011973340853038991,1.1190038180410271e-05,8.952030544328217e-06,6.214696621767894e-05,0.0001443514925272925,0.0,0.0,0.0
2020-07-24,0.9941129209132862,8.728229780720012e-05,4.811716417576417e-05,0.005614042155111834,0.00011973340853038991,1.0071034362369245e-05,8.952030544328217e-06,6.220110900140432e-05,0.00015106551543553866,0.0,0.0,0.0
2020-07-25,0.9940905408369254,8.952030544328217e-05,5.3712183265969305e-05,0.0056353032276546125,0.00011413838944018477,8.952030544328217e-06,8.952030544328217e-06,6.22482550451788e-05,0.00015106551543553866,0.0,0.0,0.0
2020-07-26,0.9940771127911089,8.056827489895396e-05,5.595019090205136e-05,0.005649850277289146,0.00011973340853038991,1.0071034362369245e-05,7.83302672628719e-06,6.228813347330142e-05,0.00014882750779945662,0.0,0.0,0.0
